index,Original,Đạt,Tấn,Phát,Kỳ
3893,"Máy Note20 chụp hình đẹp, màn hình theo mình thấy rất tuyệt vời. Pin dùng trâu bò cả ngày. Nói chung đáng mua trong tầm giá sau khuyến mãi.","Máy Note 20 chụp hình đẹp, màn hình theo mình thấy rất tuyệt vời. Pin dùng trâu bò cả ngày. Nói chung đáng mua trong tầm giá sau khuyến mãi.","Máy Note20 chụp hình đẹp, màn hình theo mình thấy rất tuyệt vời. Pin dùng trâu bò cả ngày. Nói chung đáng mua trong tầm giá sau khuyến mãi.","Máy Note20 chụp hình đẹp, màn hình theo mình thấy rất tuyệt vời. Pin dùng trâu bò cả ngày. Nói chung đáng mua trong tầm giá sau khuyến mãi.","Máy Note20 chụp hình đẹp, màn hình theo mình thấy rất tuyệt vời. Pin dùng trâu bò cả ngày. Nói chung đáng mua trong tầm giá sau khuyến mãi."
3894,Mình lúc dùng vân tay bật lên thì hay bị tối màn hình phải bật lại lần nữa mới sáng lên đc. Máy hay bị giật lag lúc bật qua màn hình tắt tag ứng dụng. Máy thì dùng ok ngoài 2 cái đó ra,Mình lúc dùng vân tay bật lên thì hay bị tối màn hình phải bật lại lần nữa mới sáng lên được. Máy hay bị giật lag lúc bật qua màn hình tắt tag ứng dụng. Máy thì dùng ok ngoài 2 cái đó ra,"Mình lúc dùng vân tay bật lên thì hay bị tối màn hình, phải bật lại lần nữa mới sáng lên được. Máy hay bị giật lag lúc bật qua màn hình tắt tag ứng dụng. Máy thì dùng được ngoài 2 cái đó ra",Mình lúc dùng vân tay bật lên thì hay bị tối màn hình phải bật lại lần nữa mới sáng lên được. Máy hay bị giật lag lúc bật qua màn hình tắt tag ứng dụng. Máy thì dùng ok ngoài 2 cái đó ra,Mình lúc dùng vân tay bật lên thì hay bị tối màn hình phải bật lại lần nữa mới sáng lên được. Máy hay bị giật lag lúc bật qua màn hình tắt tag ứng dụng. Máy thì dùng ok ngoài 2 cái đó ra
3895,Máy màn hình kém. Mới dùng mấy ngày mà đã bị hở sáng màn hình và bóng mờ rồi. Đã trả lại máy sau mấy ngày sử dụng.,"Máy màn hình kém. Mới dùng mấy ngày mà đã bị hở, sáng màn hình và bóng mờ rồi. Đã trả lại máy sau mấy ngày sử dụng.",Máy màn hình kém. Mới dùng mấy ngày mà đã bị hở sáng màn hình và bóng mờ rồi. Đã trả lại máy sau mấy ngày sử dụng.,Máy màn hình kém. Mới dùng mấy ngày mà đã bị hở sáng màn hình và bóng mờ rồi. Đã trả lại máy sau mấy ngày sử dụng.,Máy màn hình kém. Mới dùng mấy ngày mà đã bị hở sáng màn hình và bóng mờ rồi. Đã trả lại máy sau mấy ngày sử dụng.
3896,Camera trước 32mp mà còn k bằng con a50. Màn hình quá nhòe quá thất vọng khi bỏ ra 8tr để mua.,"Camera trước 32mp mà còn ko bằng con a50. Màn hình quá nhòe, quá thất vọng khi bỏ ra 8tr để mua.","Camera trước 32Mp mà còn không bằng con A50. Màn hình quá nhoè, quá thất vọng khi bỏ ra 8tr để mua.","Camera trước 32mp mà còn không bằng con A50. Màn hình quá nhòe, quá thất vọng khi bỏ ra 8tr để mua.","Camera trước 32mp mà còn không bằng con A50. Màn hình quá nhòe, quá thất vọng khi bỏ ra 8tr để mua."
3897,"mới mua được 1 tuần quá thất vọng,vân tay cùi chục phát được 1 2 phát.pin trâu.mỗi tội vân tay quá tệ thua xa a8 star","mới mua được 1 tuần quá thất vọng, vân tay cùi chục phát được 1 2 phát. pin trâu. mỗi tội vân tay quá tệ thua xa a8 star","Mới mua được 1 tuần quá thất vọng, vân tay không nhạy, chạm chục phát được 1-2 phát. Pin trâu, mỗi tội vân tay quá tệ, thua xa A8 Star","Mới mua được 1 tuần. Quá thất vọng, vân tay cùi, chục phát được 1-2 phát. Pin trâu. Mỗi tội vân tay quá tệ thua xa A8 Star","Mới mua được 1 tuần. Quá thất vọng, vân tay cùi, chục phát được 1-2 phát. Pin trâu. Mỗi tội vân tay quá tệ thua xa A8 Star"
3898,Không nên mua máy này tệ lắm: 1. Thường không nhận thẻ nhớ. 2. Pin đi rất nhanh xem Youtube khoản 1h.  3. Bắt sóng điện thoại rất kém gần như mất liên tục. ...,"Không nên mua, máy này tệ lắm: 1. Thường không nhận thẻ nhớ. 2. Pin đi rất nhanh, xem Youtube khoảng 1h.  3. Bắt sóng điện thoại rất kém, gần như mất liên tục. ...","Không nên mua, máy này tệ lắm: 1. Thường không nhận thẻ nhớ. 2. Pin đi rất nhanh, xem Youtube khoảng 1h. 3. Bắt sóng điện thoại rất kém, gần như mất liên tục.",Không nên mua máy này tệ lắm: 1. Thường không nhận thẻ nhớ. 2. Pin đi rất nhanh xem Youtube khoản 1h. 3. Bắt sóng điện thoại rất kém gần như mất liên tục. ...,Không nên mua máy này tệ lắm: 1. Thường không nhận thẻ nhớ. 2. Pin đi rất nhanh xem Youtube khoản 1h.  3. Bắt sóng điện thoại rất kém gần như mất liên tục. ...
3899,"Máy ngon, pin trâu, mọi chức năng đểu ổn định. Khoảng 6-7 triệu mua redmi note 9 pro là hợp lý nhất.","Máy ngon, pin trâu, mọi chức năng đểu ổn định. Khoảng 6-7 triệu mua redmi note 9 pro là hợp lý nhất.","Máy ngon, pin trâu, mọi chức năng đểu ổn định. Khoảng 6-7 triệu mua Redmi Note 9 Pro là hợp lý nhất.","Máy ngon, pin trâu, mọi chức năng đểu ổn định. Khoảng 6-7 triệu mua Redmi Note 9 Pro là hợp lý nhất.","Máy ngon, pin trâu, mọi chức năng đểu ổn định. Khoảng 6-7 triệu mua redmi note 9 pro là hợp lý nhất."
3900,"Máy mượt pin trâu cam đẹp,xạc hơi lâu 1 chút nhưng ko sao, nhân viên nhiệt tình !","Máy mượt, pin trâu, camera đẹp, sạc hơi lâu 1 chút nhưng không sao, nhân viên nhiệt tình!","Máy mượt, pin trâu, camera đẹp, sạc hơi lâu 1 chút nhưng không sao, nhân viên nhiệt tình!","Máy mượt, pin trâu, camera đẹp, sạc hơi lâu 1 chút nhưng ko sao, nhân viên nhiệt tình!","Máy mượt pin trâu cam đẹp,xạc hơi lâu 1 chút nhưng không sao, nhân viên nhiệt tình !"
3901,"Tôi mới mua hôm qua, thấy đt dùng mượt,camera ổn trong tầm giá,xem phim dc,lướt web ok...tôi ko chơi game nên cảm nhận v... Cám ơn anh nhân viên đã nhiệt tình trong tư vấn hỗ trợ tôi...","Tôi mới mua hôm qua, thấy điện thoại dùng mượt, camera ổn trong tầm giá, xem phim được, lướt web ok... tôi ko chơi game nên cảm nhận vậy... Cảm ơn anh nhân viên đã nhiệt tình trong tư vấn hỗ trợ tôi...","Tôi mới mua hôm qua, thấy điện thoại dùng mượt, camera ổn trong tầm giá, xem phim được, lướt web được. Tôi không chơi game nên cảm nhận v... Cám ơn anh nhân viên đã nhiệt tình trong tư vấn hỗ trợ tôi…","Tôi mới mua hôm qua, thấy điện thoại dùng mượt, camera ổn trong tầm giá,xem phim được ,lướt web ok... Tôi ko chơi game nên cảm nhận vậy... Cám ơn anh nhân viên đã nhiệt tình trong tư vấn hỗ trợ tôi...","Tôi mới mua hôm qua, thấy điện thoại dùng mượt,camera ổn trong tầm giá,xem phim được,lướt web ok...tôi không chơi game nên cảm nhận vậy ... Cám ơn anh nhân viên đã nhiệt tình trong tư vấn hỗ trợ tôi..."
3902,Sao 1 tháng sử dụng thì máy Kết nối mạng rất là chậm. Hay tuột sóng mạng di động. Ra tiệm kiểm tra thì nói vẫn bình thường. Nhưng về nhà lại tiếp tục bị tình trạng như vậy,Sau 1 tháng sử dụng thì máy kết nối mạng rất là chậm. Hay tụt sóng mạng di động. Ra tiệm kiểm tra thì nói vẫn bình thường. Nhưng về nhà lại tiếp tục bị tình trạng như vậy,"Sau 1 tháng sử dụng thì máy kết nối mạng rất là chậm, hay tuột sóng mạng di động. Ra tiệm kiểm tra thì nói vẫn bình thường. Nhưng về nhà lại tiếp tục bị tình trạng như vậy",Sau 1 tháng sử dụng thì máy kết nối mạng rất là chậm. Hay mất sóng mạng di động. Ra tiệm kiểm tra thì nói vẫn bình thường. Nhưng về nhà lại tiếp tục bị tình trạng như vậy,Sao 1 tháng sử dụng thì máy Kết nối mạng rất là chậm. Hay tuột sóng mạng di động. Ra tiệm kiểm tra thì nói vẫn bình thường. Nhưng về nhà lại tiếp tục bị tình trạng như vậy
3903,Tốc độ sạc nhanh thì khỏi phải bàn tới rồi. Công nghệ màn hình nhìn là đã siêu xịn xò luôn. Chip Snap thì mình chơi Pubg với LQ chưa hề có tình trạng giật lắc. Quá ổn định. Đáng đồng tiền mua,Tốc độ sạc nhanh thì khỏi phải bàn tới rồi. Công nghệ màn hình nhìn là đã siêu xịn xò luôn. Chip Snap thì mình chơi Pubg với LQ chưa hề có tình trạng giật lag. Quá ổn định. Đáng đồng tiền mua,Tốc độ sạc nhanh thì khỏi phải bàn tới rồi. Công nghệ màn hình nhìn là đã siêu xịn xò luôn. Chip Snap thì mình chơi PUBG với Liên Quân chưa hề có tình trạng giật lag. Quá ổn định. Đáng đồng tiền mua,Tốc độ sạc nhanh thì khỏi phải bàn tới rồi. Công nghệ màn hình nhìn là đã siêu xịn xò luôn. Chip Snap thì mình chơi PUBG với Liên Quân chưa hề có tình trạng giật lag. Quá ổn định. Đáng đồng tiền mua,Tốc độ sạc nhanh thì khỏi phải bàn tới rồi. Công nghệ màn hình nhìn là đã siêu xịn xò luôn. Chip Snap thì mình chơi Pubg với LQ chưa hề có tình trạng giật lag. Quá ổn định. Đáng đồng tiền mua
3904,Mua cũng được 3 tháng rồi mấy còn chạy mượt chụp hình khá ok . Chấp lun 6s plus . Mấy rất ổn định .,Mua cũng được 3 tháng rồi máy còn chạy mượt chụp hình khá ok . Chấp luôn 6s plus . Mấy rất ổn định .,"Mua cũng được 3 tháng rồi mấy còn chạy mượt, chụp hình khá tốt. Chấp lun 6s Plus. Máy rất ổn định.",Mua cũng được 3 tháng rồi. Máy còn chạy mượt chụp hình khá ok . Chấp luôn 6S Plus . Máy rất ổn định .,Mua cũng được 3 tháng rồi mấy còn chạy mượt chụp hình khá ok . Chấp lun 6s plus . Mấy rất ổn định .
